"","Overall"
"X494",24.7041623531348
"X495",24.9657935999724
"X496",25.2255020761968
"X497",25.4806603000401
"X498",25.7432848610354
"X499",26.0052648653728
"X500",26.270545547491
"X501",26.5464760913755
"X502",26.8149367377015
"X503",27.083855548328
"X504",27.3460951990815
"X505",27.6175900027885
"X506",27.8943253986897
"X507",28.1694675050825
"X508",28.4453304441202
"X509",28.719420998561
"X510",28.9903222336446
"X511",29.2638840922422
"X512",29.5411421383527
"X513",29.819634612595
"X514",30.0956909609285
"X515",30.3784199463718
"X516",30.6631296315986
"X517",30.9460763543425
"X518",31.2372406000833
"X519",31.5226308609998
"X520",31.8176218781635
"X521",32.1176682519481
"X522",32.4222353948259
"X523",32.7273236546355
"X524",33.0340819869309
"X525",33.3400773920236
"X526",33.6569158468977
"X527",33.9750482350098
"X528",34.3042953469106
"X529",34.630794997189
"X530",34.9618825837248
"X531",35.2933232388738
"X532",35.6331983371126
"X533",35.9801839017254
"X534",36.3274617894651
"X535",36.6762184081981
"X536",37.0303767448105
"X537",37.3881502714733
"X538",37.7588003948237
"X539",38.1291036102396
"X540",38.5074634890208
"X541",38.8938531387918
"X542",39.2791627080728
"X543",39.6768106454492
"X544",40.0818161797842
"X545",40.4850691298205
"X546",40.8929181715112
"X547",41.3018520760647
"X548",41.7224558643887
"X549",42.1497584444161
"X550",42.5736552819713
"X551",43.0040161394847
"X552",43.4364143262991
"X553",43.8710598457123
"X554",44.312820196838
"X555",44.7582526361482
"X556",45.2045129290119
"X557",45.6490763489446
"X558",46.0960923023487
"X559",46.5495660984449
"X560",47.0058622087286
"X561",47.4641811261419
"X562",47.9172647670802
"X563",48.3736691720922
"X564",48.8257695512144
"X565",49.2767807416112
"X566",49.720905864603
"X567",50.1558297703246
"X568",50.5882336038036
"X569",51.0088080222391
"X570",51.4212788987702
"X571",51.8296554218963
"X572",52.2272902310876
"X573",52.6178324761339
"X574",52.9910166992762
"X575",53.3608561817321
"X576",53.7243038904141
"X577",54.0711057170035
"X578",54.415976074797
"X579",54.7483770264092
"X580",55.068401578539
"X581",55.3795368599043
"X582",55.680060440207
"X583",55.9825167855918
"X584",56.2709227711732
"X585",56.5492196025945
"X586",56.8220310411558
"X587",57.0841574860771
"X588",57.3381909889932
"X589",57.5869646759625
"X590",57.8310155275005
"X591",58.0668963687355
"X592",58.2963365860092
"X593",58.5208694763195
"X594",58.7420063360865
"X595",58.957217518177
"X596",59.1591086267571
"X597",59.3575773434442
"X598",59.5522489376186
"X599",59.7372025580555
"X600",59.9191062604222
"X601",60.0953220791356
"X602",60.2667356722031
"X603",60.4247011134422
"X604",60.5830681332942
"X605",60.8088464396681
"X606",61.8014994671026
"X607",62.7544746702721
"X608",63.6706309346793
"X609",64.5667427400482
"X610",65.4315548738302
"X611",66.266228641971
"X612",67.0621553788146
"X613",67.8377197148087
"X614",68.5597768826581
"X615",69.2501577785436
"X616",69.916779201101
"X617",70.5576882306234
"X618",71.1671696236657
"X619",71.7470087596746
"X620",72.2897977028633
"X621",72.8301045610292
"X622",73.3621100351666
"X623",73.8649666330155
"X624",74.3417827283484
"X625",74.7941596946703
"X626",75.2561647265046
"X627",75.6981165347926
"X628",76.1168979444377
"X629",76.5436876664283
"X630",76.9317300784199
"X631",77.2847417540598
"X632",77.6521472490634
"X633",78.0161814869692
"X634",78.3790555073259
"X635",78.7159921192106
"X636",79.0380722387084
"X637",79.3631992978557
"X638",79.6667028865419
"X639",79.9571590094129
"X640",80.2590087663794
"X641",80.5529651416279
"X642",80.8426920950607
"X643",81.1271206657258
"X644",81.3988011386941
"X645",81.6683583667479
"X646",81.9320243623569
"X647",82.1933627637977
"X648",82.4708190002364
"X649",82.7299743539488
"X650",82.9940377328889
"X651",83.2495305039734
"X652",83.5060267750661
"X653",83.745505140518
"X654",84.0031201612819
"X655",84.2653638971182
"X656",84.5187761610735
"X657",84.7745268728774
"X658",85.0417760358482
"X659",85.302089486401
"X660",85.5441160201892
"X661",85.809279104665
"X662",86.0996285575624
"X663",86.3734076248908
"X664",86.6382584246433
"X665",86.9009711146244
"X666",87.1557089027817
"X667",87.4233191309215
"X668",87.6879766301256
"X669",87.9658763098332
"X670",88.2258160427401
"X671",88.4857325303421
"X672",88.7407111459998
"X673",89.0050383156751
"X674",89.2901176919143
"X675",89.5584557432705
"X676",89.8089933329751
"X677",90.0795080118364
"X678",90.3502620304353
"X679",90.6102683959788
"X680",90.8679085024001
"X681",91.126961654872
"X682",91.3941365151289
"X683",91.6398517478035
"X684",91.8903587076963
"X685",92.1461254262722
"X686",92.3885809870785
"X687",92.6199965622609
"X688",92.8729725192329
"X689",93.1203716763274
"X690",93.3765004628567
"X691",93.6043859251122
"X692",93.8480872624917
"X693",94.0890873112258
"X694",94.3353362647427
"X695",94.5768359085897
"X696",94.8346146489637
"X697",95.0549672024605
"X698",95.2669904052661
"X699",95.4794668715956
"X700",95.7126747644711
"X701",95.9189278885662
"X702",96.1394191853002
"X703",96.3366319219921
"X704",96.524575213009
"X705",96.7305156706372
"X706",96.9338328635228
"X707",97.1491148498316
"X708",97.344477827168
"X709",97.5095688798374
"X710",97.7013184066037
"X711",97.8680819900593
"X712",98.0465573829992
"X713",98.2271807145616
"X714",98.3495709175549
"X715",98.5038368334904
"X716",98.643516832265
"X717",98.7647229483816
"X718",98.9157142632537
"X719",99.03093268504
"X720",99.1600350868193
"X721",99.2622439262841
"X722",99.3557408402495
"X723",99.4865432204507
"X724",99.573718414553
"X725",99.6321021462395
"X726",99.7115846225807
"X727",99.7721434585864
"X728",99.8493744061427
"X729",99.8943106225542
"X730",99.9380754777127
"X731",99.975351060327
"X732",99.9746800231713
"X733",99.9759319918572
"X734",100
"X735",99.9935247904948
"X736",99.9666325850471
"X737",99.9243080267506
"X738",99.8757869205956
"X739",99.8353918570511
"X740",99.770115006393
"X741",99.696886283897
"X742",99.6250390741595
"X743",99.5209775570958
"X744",99.4182376888028
"X745",99.3129338983191
"X746",99.1921061736631
"X747",99.0638576743564
"X748",98.913095869205
"X749",98.7631925087437
"X750",98.6191711912518
"X751",98.4409347653368
"X752",98.2612105581264
"X753",98.0798937501602
"X754",97.8831229672884
"X755",97.6786240901347
"X756",97.4677460416817
"X757",97.2438435273096
"X758",97.0049470154315
"X759",96.7370397171101
"X760",96.4737225243991
"X761",96.2214022261477
"X762",95.9475012941121
"X763",95.6512915296323
"X764",95.3521777593307
"X765",95.0538709895559
"X766",94.7408975693245
"X767",94.4284819163585
"X768",94.1119864723514
"X769",93.7986588743091
"X770",93.4418758833774
"X771",93.0885813255207
"X772",92.7574003706206
"X773",92.3900910767582
"X774",92.0188282701939
"X775",91.6569274763268
"X776",91.2823042981587
"X777",90.8918754504117
"X778",90.4965320923497
"X779",90.1161816475965
"X780",89.7106091526878
"X781",89.2994881164695
"X782",88.8941371882228
"X783",88.4799765928804
"X784",88.0393686835081
"X785",87.604704902625
"X786",87.1965888527386
"X787",86.7560054122116
"X788",86.3139039824913
"X789",85.8738636407817
"X790",85.4125700332872
"X791",84.9701803781224
