"","Overall"
"RAWH6",0.00730604263005688
"RAWFODI",0.00237125124401612
"SMOORG25",0.135258326995648
"SMOR",0.00254899705603361
"SMOG",0.00253679257630149
"SMOB",0.00174999105096953
"SMOr",0.00275327409240993
"SMOg",0.0010383540358199
"SMOb",0.00171468930520177
"SMOCOL18",0.00440465003407923
"SMOCOL20",0.0060976677641258
"SMOCOL21",0.0126622510690705
"SMOCOL22",0.000786570773749631
"SMOCOL23",1.19737276326455e-05
"SMOCOL24",0.000676104517646088
"SMOCOL25",0.00941210414674181
"SMOCOL26",99.5089559571443
"SMOCOL27",0.00440465003407923
"SMOCOL28",0.0060976677641258
"SMOCOL29",0.00309312636987586
"SMOCOL30",0.0488704774581265
"SMONFODI",0.000307465701972151
"SMOORG27",0.00699759410075009
"SMOG5",0.000860394862000206
"SMOG6",0.00127432705814934
"SMOH6",0.0072824193833382
"SMOFODI",0.00238184967801197
"SGDORG25",0.136950782939426
"SGDR",5.48714006621364e-06
"SGDG",6.21434826385243e-06
"SGDB",7.07634229041739e-06
"SGDr",0.00611508623405358
"SGDg",0.00222420794279365
"SGDb",0.00389064753910302
"SGDCOL18",0.00871289017184193
"SGDCOL20",0.0129945873121474
"SGDCOL21",0.0300590222248422
"SGDCOL22",6.31221679618646e-07
"SGDCOL23",1.1932237006909e-05
"SGDCOL24",0.00166620884448747
"SGDCOL25",0.0703577728999241
"SGDCOL26",0.000640825267739729
"SGDCOL27",0.00871289017184193
"SGDCOL28",0.0129945873121474
"SGDCOL29",3.01127035704988e-06
"SGDCOL30",0.0765487854039383
"SGDNFODI",7.77937409817756e-07
"SGDORG27",0.00556884460497714
"SGDG6",0.00589827016145826
"SGDH6",0.0130210599616164
"SGDFODI",0.00347638804114511
